year,state,state_code,region,visitors_thousands,tourists_thousands,excursionists_thousands,alos_days,total_expenditure_rm_million,accommodation_expenditure_rm_million,food_expenditure_rm_million,shopping_expenditure_rm_million,transport_expenditure_rm_million,accommodation_share,hotel_rooms_kpi,total_population_thousands,working_age_thousands,households_thousands,households_count,resident_median_income_rm,avg_household_size,feeder_hhi,top_origin_share_pct,tourist_nights_k,total_visitor_days_k,tey_rm_per_day,epr_ratio,attributable_gva_rm_million,dvr_retention_rate_pct,tir_visitors_per_resident,tir_tourists_per_resident,ryh_accom_per_household_rm,sdg_diagnosis,sdg_policy_action,sdg_status_color
2022,Pahang,MY-06,East Coast,13188.96,7794.11,5394.85,2.11,5316.79,746.48,833.97,1557.67,341.89,0.1404,34183.0,1614.3,1095.9,382.6,382600,4753.0,4.22,1928.05,29.79,16445.572099999998,21840.422099999996,243.4,0.69,2480.5,46.7,8.17,4.83,1951.1,Value Growth Frontier,Healthy absorption capacity with significant upside to expand length of stay and accommodation spend. Priority: Expand accommodation inventory and targeted promotion.,#8b5cf6
2023,Pahang,MY-06,East Coast,16455.57,8537.11,7918.46,2.13,6733.34,1000.26,989.22,1943.89,384.03,0.1486,33387.0,1643.2,1127.3,389.476,389476,4862.7,4.22,1944.24,29.38,18184.0443,26102.5043,258.0,0.93,3123.0,46.4,10.01,5.2,2568.2,Value Growth Frontier,Healthy absorption capacity with significant upside to expand length of stay and accommodation spend. Priority: Expand accommodation inventory and targeted promotion.,#8b5cf6
2024,Pahang,MY-06,East Coast,20173.88,9525.84,10648.04,2.17,8709.76,1202.61,1280.69,2610.35,523.23,0.1381,34323.0,1667.7,1156.3,396.475,396475,4975.0,4.21,1594.76,26.1,20671.072799999998,31319.1128,278.1,1.12,4099.6,47.1,12.1,5.71,3033.3,Value Growth Frontier,Healthy absorption capacity with significant upside to expand length of stay and accommodation spend. Priority: Expand accommodation inventory and targeted promotion.,#8b5cf6
2025,Pahang,MY-06,East Coast,23161.17,11045.98,12115.19,2.21,9846.77,1312.31,1444.25,2965.38,608.29,0.1333,34401.0,1676.8,1168.5,403.6,403600,5089.9,4.15,1489.85,23.54,24411.6158,36526.8058,269.6,1.1,4658.0,47.3,13.81,6.59,3251.5,Value Growth Frontier,Healthy absorption capacity with significant upside to expand length of stay and accommodation spend. Priority: Expand accommodation inventory and targeted promotion.,#8b5cf6
2018,Perak,MY-08,Northern,17553.16,7563.95,9989.22,1.85,6468.5,538.67,979.41,1659.17,402.99,0.0833,17237.0,2503.5,1705.4,632.526,632526,4182.1,3.96,1823.76,34.42,13993.3075,23982.5275,269.7,1.32,3158.4,48.8,7.01,3.02,851.6,Value Growth Frontier,Healthy absorption capacity with significant upside to expand length of stay and accommodation spend. Priority: Expand accommodation inventory and targeted promotion.,#8b5cf6
2019,Perak,MY-08,Northern,21070.72,10122.75,10947.98,2.21,7824.06,702.42,1343.11,1882.35,522.29,0.0898,16986.0,2508.8,1712.6,639.4,639400,4273.0,3.92,1798.13,28.65,22371.2775,33319.2575,234.8,1.08,3750.6,47.9,8.4,4.03,1098.6,Value Growth Frontier,Healthy absorption capacity with significant upside to expand length of stay and accommodation spend. Priority: Expand accommodation inventory and targeted promotion.,#8b5cf6
2020,Perak,MY-08,Northern,13173.31,4890.65,8282.66,1.85,3317.07,193.77,757.8,1472.21,214.91,0.0584,19116.0,2496.0,1694.2,642.881,642881,4345.4,3.88,1866.4,28.02,9047.7025,17330.3625,191.4,1.69,1771.6,53.4,5.28,1.96,301.4,Sustainable High-Value Benchmark,Exceptional domestic value retention and high economic return per visitor-day. Priority: Monitor carrying capacity and safeguard natural/cultural assets.,#10b981
2021,Perak,MY-08,Northern,4489.27,1356.45,3132.82,2.29,1159.53,87.57,170.39,490.44,54.03,0.0755,18937.0,2515.8,1707.6,646.381,646381,4419.1,3.89,2027.84,32.72,3106.2705,6239.0905,185.8,2.31,615.3,53.1,1.78,0.54,135.5,Sustainable High-Value Benchmark,Exceptional domestic value retention and high economic return per visitor-day. Priority: Monitor carrying capacity and safeguard natural/cultural assets.,#10b981
2022,Perak,MY-08,Northern,14566.73,6866.52,7700.21,2.43,4541.33,315.0,835.41,1417.64,327.46,0.0694,19976.0,2514.4,1710.0,649.9,649900,4494.0,3.87,2150.91,38.28,16685.643600000003,24385.853600000002,186.2,1.12,2282.2,50.3,5.79,2.73,484.7,Value Growth Frontier,Healthy absorption capacity with significant upside to expand length of stay and accommodation spend. Priority: Expand accommodation inventory and targeted promotion.,#8b5cf6
2023,Perak,MY-08,Northern,17107.52,7503.39,9604.13,2.35,5641.02,659.31,1089.59,1660.66,349.67,0.1169,19763.0,2541.2,1740.1,655.336,655336,4589.5,3.88,1994.14,30.04,17632.966500000002,27237.0965,207.1,1.28,2688.7,47.7,6.73,2.95,1006.1,Value Growth Frontier,Healthy absorption capacity with significant upside to expand length of stay and accommodation spend. Priority: Expand accommodation inventory and targeted promotion.,#8b5cf6
