year,state,total_population_thousands,total_population_millions,children_0_14_thousands,dts_15_24_thousands,dts_25_39_thousands,dts_40_54_thousands,dts_55plus_thousands,adult_15plus_thousands,working_age_thousands,elderly_65plus_thousands,children_pct,working_age_pct,elderly_pct,dts_15_24_pct,dts_25_39_pct,dts_40_54_pct,dts_55plus_pct,dependency_ratio,state_code,region,households_thousands,households_count,median_household_income_rm,mean_household_income_rm,avg_household_size,data_status
2019,Sabah,3904.4,3.9044,911.8,903.9,1177.6,558.8,352.4,2992.7,2858.1,134.6,23.4,73.2,3.4,30.2,39.3,18.7,11.8,36.6,MY-12,East Malaysia,513.2,513200,4235.0,5745.0,7.61,official_dosm_estimates
2020,Sabah,3418.8,3.4188,907.1,700.9,953.0,475.9,381.9,2511.7,2319.7,192.0,26.5,67.9,5.6,27.9,37.9,18.9,15.2,47.4,MY-12,East Malaysia,541.03,541030,4346.1,5883.6,6.32,official_dosm_estimates
2021,Sabah,3412.6,3.4126,882.8,699.6,951.3,488.8,390.0,2529.7,2334.0,195.7,25.9,68.4,5.7,27.7,37.6,19.3,15.4,46.2,MY-12,East Malaysia,570.37,570370,4460.0,6025.6,5.98,official_dosm_estimates
2022,Sabah,3414.9,3.4149,856.0,704.3,950.6,504.7,399.6,2559.2,2357.6,201.6,25.1,69.0,5.9,27.5,37.1,19.7,15.6,44.9,MY-12,East Malaysia,601.3,601300,4577.0,6171.0,5.68,official_dosm_estimates
2023,Sabah,3596.7,3.5967,878.0,753.0,1003.3,540.8,421.6,2718.7,2501.9,216.8,24.4,69.6,6.0,27.7,36.9,19.9,15.5,43.8,MY-12,East Malaysia,617.671,617671,4730.9,6332.4,5.82,official_dosm_estimates
2024,Sabah,3742.0,3.742,889.0,793.0,1044.2,573.6,442.2,2853.0,2621.9,231.1,23.8,70.1,6.2,27.8,36.6,20.1,15.5,42.7,MY-12,East Malaysia,634.488,634488,4890.0,6498.0,5.9,official_dosm_estimates
2025,Sabah,3754.5,3.7545,869.9,798.7,1041.2,590.8,453.8,2884.5,2647.0,237.5,23.2,70.5,6.3,27.7,36.1,20.5,15.7,41.8,MY-12,East Malaysia,651.763,651763,5054.4,6667.9,5.76,official_dosm_estimates
2018,Sarawak,2791.7,2.7917,651.4,544.9,690.9,471.2,433.2,2140.2,1938.0,202.2,23.3,69.4,7.2,25.5,32.3,22.0,20.2,44.0,MY-13,East Malaysia,618.047,618047,4413.2,5761.9,4.52,official_dosm_estimates
2019,Sarawak,2806.0,2.806,636.1,542.7,705.7,471.2,450.4,2170.0,1957.2,212.8,22.7,69.8,7.6,25.0,32.5,21.7,20.8,43.4,MY-13,East Malaysia,625.4,625400,4544.0,5959.0,4.49,official_dosm_estimates
2020,Sarawak,2453.7,2.4537,540.3,423.9,621.6,456.5,411.4,1913.4,1728.6,184.8,22.0,70.4,7.5,22.2,32.5,23.9,21.5,41.9,MY-13,East Malaysia,615.718,615718,4684.3,6120.6,3.99,official_dosm_estimates
